                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2433,                 2.8784,                 2.2102,                 1.4234,                 0.1373,                0.23879,                0.15609,                0.09325,                0.11422,                  0.218,                0.11899,                0.04706,                 1.5269,                  5.172,                 6.5745,                 1.8153,             0.00030043,             0.00030043,             0.00030043
                      2,                 1.2164,                 2.7363,                 1.8007,                 1.3736,                0.36362,                0.25766,                0.16974,                0.09491,                0.35227,                0.22773,                0.14078,                0.05592,                 1.6951,                 4.2251,                 3.7867,                 1.8827,             0.00059148,             0.00059148,             0.00059148
                      3,                 1.1962,                 2.6624,                 1.6907,                 1.3653,                0.20091,                0.32042,                0.19014,                0.10363,                0.34164,                0.27441,                0.16821,                0.06992,                 1.6703,                 3.8749,                 4.6146,                 1.8642,             0.00087054,             0.00087054,             0.00087054
                      4,                 1.2067,                  2.566,                 1.6804,                 1.3704,                0.26848,                0.35662,                0.26189,                0.16114,                0.28059,                0.31166,                0.23719,                0.10228,                 1.4226,                 3.2112,                 7.8211,                 1.6162,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.1183,                  2.385,                 1.4739,                 1.3016,                0.48584,                0.44833,                0.43188,                0.26389,                 0.4468,                0.41423,                0.37828,                0.18678,                 1.2973,                 2.6728,                 1.7499,                 1.5108,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.0596,                 2.2813,                 1.3824,                 1.2767,                0.36633,                0.42992,                0.35609,                0.23992,                 0.3554,                0.40643,                 0.3194,                0.16965,                 1.2654,                 2.6956,                 2.5005,                 1.4861,             0.00081901,             0.00081901,             0.00081901
                      7,                 1.0418,                 2.1839,                 1.3272,                 1.2507,                0.46115,                 0.5002,                0.46018,                0.30807,                0.42916,                0.48885,                0.42108,                0.20817,                 1.2396,                  2.688,                 1.6209,                 1.4587,             0.00080101,             0.00080101,             0.00080101
                      8,                 1.0138,                 2.1902,                 1.2711,                 1.2445,                0.51797,                0.52221,                0.52029,                0.35067,                0.49349,                0.49867,                0.47216,                0.24758,                 1.1253,                 2.4676,                 1.3901,                 1.3654,             0.00078301,             0.00078301,             0.00078301
                      9,                0.97968,                 2.0994,                 1.2226,                 1.2143,                0.49624,                0.53922,                0.49778,                0.33866,                0.46261,                0.51093,                0.44923,                0.22945,                 1.1592,                 2.4684,                 1.4031,                 1.3792,             0.00076501,             0.00076501,             0.00076501
                     10,                 0.9405,                 1.9848,                 1.1593,                 1.1946,                0.55592,                 0.5152,                0.51882,                0.36082,                0.52838,                 0.4786,                0.46537,                0.26064,                 1.0923,                 2.3105,                 1.4846,                 1.3552,             0.00074702,             0.00074702,             0.00074702
                     11,                0.94183,                 1.9428,                 1.1453,                 1.1835,                0.53527,                0.56483,                0.55198,                0.37186,                0.52267,                0.54452,                0.52221,                0.27835,                 1.1207,                 2.2525,                 1.3065,                 1.3451,             0.00072902,             0.00072902,             0.00072902
                     12,                0.92663,                 1.9173,                 1.1043,                 1.1814,                0.62554,                0.53603,                0.55985,                 0.3791,                0.62518,                0.50188,                0.51451,                0.29076,                 1.0617,                 2.1665,                 1.2282,                 1.2997,             0.00071102,             0.00071102,             0.00071102
                     13,                0.91384,                 1.8709,                 1.0406,                 1.1704,                0.55427,                0.59936,                0.58095,                  0.406,                0.52039,                0.56495,                0.52727,                0.30514,                 1.0344,                 2.2424,                  1.184,                 1.2828,             0.00069302,             0.00069302,             0.00069302
                     14,                0.88387,                 1.8313,                 1.0143,                 1.1557,                0.53996,                0.61132,                0.60862,                0.43037,                0.52483,                0.57477,                 0.5629,                0.32443,                 1.0168,                 2.1883,                 1.1473,                 1.2848,             0.00067502,             0.00067502,             0.00067502
                     15,                0.86954,                 1.8049,                0.97603,                 1.1475,                0.55789,                0.59212,                0.58663,                0.41163,                0.52947,                0.57543,                0.55597,                0.31821,                0.99765,                 2.0642,                 1.1475,                 1.2707,             0.00065703,             0.00065703,             0.00065703
                     16,                0.82626,                 1.6734,                0.91886,                 1.1248,                0.60749,                0.56144,                0.60657,                0.42901,                0.56987,                0.53028,                0.55597,                 0.3312,                0.95278,                 1.9609,                 1.1416,                 1.2138,             0.00063903,             0.00063903,             0.00063903
                     17,                0.84127,                 1.7036,                0.92608,                 1.1265,                0.64674,                0.62254,                0.64287,                0.45006,                0.62388,                0.59987,                0.60956,                0.37395,                0.95151,                  1.836,                 1.0226,                 1.2119,             0.00062103,             0.00062103,             0.00062103
                     18,                 0.8214,                 1.6377,                 0.9011,                 1.1183,                0.61883,                0.64625,                0.64304,                0.45364,                0.58772,                 0.6097,                0.59182,                 0.3641,                0.97265,                 1.9749,                 1.0149,                 1.2284,             0.00060303,             0.00060303,             0.00060303
